City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,73.11,78,54,22.57,PF,1660436580
Moundou,8.5667,16.0833,69.67,98,81,4.23,TD,1660436581
Mar del Plata,-38.0023,-57.5575,57.94,57,0,25.99,AR,1660436527
Ancud,-41.8697,-73.8203,45.32,80,23,22.41,CL,1660436584
Foumbot,5.5079,10.6356,64.51,96,100,3.04,CM,1660436585
Longyearbyen,78.2186,15.6401,42.64,81,75,9.22,SJ,1660436511
Chokurdakh,70.6333,147.9167,41.29,74,72,9.44,RU,1660436587
Busselton,-33.65,115.3333,54.84,67,47,3.22,AU,1660436589
Tasiilaq,65.6145,-37.6368,39.36,67,4,4.99,GL,1660436590
Lavrentiya,65.5833,-171.0,40.73,68,91,14.72,RU,1660436592
Albany,42.6001,-73.9662,72.01,60,16,0.92,US,1660436223
Olafsvik,64.8945,-23.7142,48.38,78,37,5.03,IS,1660436594
Thompson,55.7435,-97.8558,73.56,33,20,3.44,CA,1660436595
Ushuaia,-54.8,-68.3,37.06,70,75,13.8,AR,1660436440
Tabou,4.423,-7.3528,75.02,85,48,9.1,CI,1660436598
Constitución,-35.3333,-72.4167,51.64,93,81,7.9,CL,1660436599
Bud,39.447,-86.1758,75.81,70,64,3.87,US,1660436602
Dikson,73.5069,80.5464,45.05,100,100,5.19,RU,1660436603
Butaritari,3.0707,172.7902,80.83,79,23,16.44,KI,1660436604
Punta Arenas,-53.15,-70.9167,37.51,87,75,14.97,CL,1660436482
Atuona,-9.8,-139.0333,77.34,71,8,19.46,PF,1660436607
Mehamn,71.0357,27.8492,49.95,87,100,10.36,NO,1660436609
Boende,-0.2167,20.8667,72.57,87,99,1.7,CD,1660436611
Korla,41.7597,86.1469,76.73,36,35,7.63,CN,1660436612
Coquimbo,-29.9533,-71.3436,55.13,82,0,8.05,CL,1660436613
Jamestown,42.097,-79.2353,67.64,40,0,4.61,US,1660436397
Barrow,71.2906,-156.7887,35.62,87,100,6.91,US,1660436376
Sennar,13.5691,33.5672,75.74,81,97,9.51,SD,1660436617
Ponta do Sol,32.6667,-17.1,74.03,79,65,2.82,PT,1660436618
New Norfolk,-42.7826,147.0587,53.1,87,100,1.99,AU,1660436619
Angoche,-16.2325,39.9086,69.55,84,0,8.1,MZ,1660436621
Samarai,-10.6167,150.6667,80.58,80,66,4.94,PG,1660436622
Okhotsk,59.3833,143.3,58.42,94,100,4.97,RU,1660436624
Yellowknife,62.456,-114.3525,73.92,33,20,11.5,CA,1660436625
Tilichiki,60.4667,166.1,61.27,74,99,6.93,RU,1660436626
Mahébourg,-20.4081,57.7,69.26,77,75,13.8,MU,1660436628
Hermanus,-34.4187,19.2345,53.8,77,40,22.39,ZA,1660436629
Arraial do Cabo,-22.9661,-42.0278,69.51,70,0,22.44,BR,1660436630
Poum,-20.2333,164.0167,75.24,70,98,22.28,NC,1660436632
George Town,5.4112,100.3354,79.9,90,20,2.3,MY,1660436633
Avarua,-21.2078,-159.775,75.25,94,100,2.3,CK,1660436421
Avera,33.194,-82.5271,80.65,49,90,3.94,US,1660436636
Port Alfred,-33.5906,26.891,53.6,83,14,8.34,ZA,1660436638
Aksu,41.1231,80.2644,74.26,50,21,4.56,CN,1660436639
Antofagasta,-23.65,-70.4,56.48,87,97,5.53,CL,1660436431
East London,-33.0153,27.9116,57.34,82,65,7.52,ZA,1660436642
Dingle,10.9995,122.6711,80.8,83,99,2.17,PH,1660436644
Kapaa,22.0752,-159.319,84.18,70,75,11.5,US,1660436645
Puerto Ayora,-0.7393,-90.3518,73.36,92,99,10.0,EC,1660436646
Hamilton,39.1834,-84.5333,77.0,63,0,1.01,US,1660436582
Petukhovo,55.0692,67.9019,52.34,74,2,9.95,RU,1660436650
Vaini,-21.2,-175.2,75.36,69,20,13.8,TO,1660436651
Berëzovka,53.7214,25.4993,63.57,96,97,6.76,BY,1660436654
Talaya,61.3833,152.75,61.03,75,100,1.54,RU,1660436655
Upernavik,72.7868,-56.1549,44.56,75,100,1.99,GL,1660436656
Tuatapere,-46.1333,167.6833,48.49,51,1,3.51,NZ,1660436658
Nanao,37.05,136.9667,84.4,83,83,11.05,JP,1660436659
Pevek,69.7008,170.3133,34.38,81,65,9.53,RU,1660436660
Vardø,70.3705,31.1107,49.98,93,100,2.3,NO,1660436662
Vypolzovo,57.8767,33.6986,59.41,82,53,1.25,RU,1660436663
Lagoa,39.05,-27.9833,74.68,90,0,8.97,PT,1660436665
Sechura,-5.5569,-80.8222,65.8,77,61,18.28,PE,1660436666
Ciupercenii Noi,43.9097,22.9483,67.55,76,99,3.98,RO,1660436667
Vidim,56.4088,103.1106,54.27,67,2,2.57,RU,1660436669
Shingū,33.7333,135.9833,87.19,68,93,5.48,JP,1660436670
Matadi,-5.8167,13.45,68.22,83,23,3.62,CD,1660436671
Mataura,-46.1927,168.8643,50.49,64,4,5.06,NZ,1660436673
Port Elizabeth,-33.918,25.5701,48.31,83,0,8.05,ZA,1660436595
Cândido de Abreu,-24.5669,-51.3333,58.03,81,100,2.19,BR,1660436675
Tiksi,71.6872,128.8694,40.19,91,56,17.81,RU,1660436677
Wattegama,6.7989,81.4808,76.1,77,100,3.89,LK,1660436678
Turukhansk,65.8167,87.9833,53.76,52,98,13.67,RU,1660436478
Mount Gambier,-37.8333,140.7667,52.81,89,18,9.98,AU,1660436681
Nikolskoye,59.7035,30.7861,60.8,66,93,3.4,RU,1660436682
Severo-Kuril'sk,50.6789,156.125,55.71,96,100,11.95,RU,1660436684
Khatanga,71.9667,102.5,55.27,49,3,12.86,RU,1660436685
Zhigansk,66.7697,123.3711,52.75,70,95,11.79,RU,1660436686
Husavik,66.0449,-17.3389,47.14,84,79,1.52,IS,1660436688
Kangaatsiaq,68.3065,-53.4641,43.63,73,98,15.75,GL,1660436690
Luba,3.4568,8.5547,76.1,89,100,12.33,GQ,1660436691
Bruneck,46.7958,11.9364,57.09,87,82,0.34,IT,1660436693
Muros,42.7762,-9.0603,62.69,92,4,4.12,ES,1660436694
Cape Town,-33.9258,18.4232,55.38,77,75,4.61,ZA,1660436575
Katete,-0.7818,29.7544,63.95,77,100,1.12,UG,1660436697
Carnarvon,-24.8667,113.6333,62.91,72,0,9.95,AU,1660436698
Goryachiy Klyuch,44.6308,39.13,74.82,88,6,2.55,RU,1660436700
Damaturu,11.747,11.9608,71.51,89,100,7.7,NG,1660436710
Beringovskiy,63.05,179.3167,47.37,71,95,8.52,RU,1660436712
Fairbanks,64.8378,-147.7164,75.09,58,0,3.44,US,1660436713
Narón,43.5167,-8.1528,66.6,93,18,7.09,ES,1660436715
Killybegs,54.6333,-8.45,63.03,87,89,2.48,IE,1660436716
Hualmay,-11.0964,-77.6139,61.63,82,26,9.53,PE,1660436717
Ryazanovskiy,55.55,39.4333,61.21,80,16,3.02,RU,1660436720
Chui,-33.6971,-53.4616,54.39,92,7,5.06,UY,1660436722
Zapolyarnyy,69.4154,30.8136,51.08,74,99,10.4,RU,1660436723
Katsuura,35.1333,140.3,77.02,82,75,24.16,JP,1660436727
Gigmoto,13.7796,124.39,83.64,77,92,5.06,PH,1660436729
Bluff,-46.6,168.3333,50.81,69,17,22.24,NZ,1660436730
Esperance,-33.8667,121.9,51.64,72,78,18.7,AU,1660436731
Alyangula,-13.8483,136.4192,77.32,51,16,16.13,AU,1660436733
Qaanaaq,77.484,-69.3632,44.6,64,100,10.78,GL,1660436734
Benjamin Constant,-4.3831,-70.0311,78.93,75,89,1.43,BR,1660436735
Bengkulu,-3.8004,102.2655,75.27,87,99,3.89,ID,1660436737
Simpang,-1.2667,104.0833,76.01,96,99,2.28,ID,1660436738
Praia da Vitória,38.7333,-27.0667,77.25,88,20,9.28,PT,1660436741
Santa Cruz de Tenerife,28.4682,-16.2546,75.6,82,100,20.71,ES,1660436742
Castro,-24.7911,-50.0119,53.83,76,100,2.98,BR,1660436744
Boali,4.8005,18.1275,71.71,94,100,2.84,CF,1660436745
Dawlatabad,36.4141,64.9053,76.93,22,0,9.06,AF,1660436746
Olavarría,-36.8927,-60.3225,61.02,72,16,11.83,AR,1660436748
Saint-François,46.4154,3.9054,62.04,55,0,3.44,FR,1660436749
Maxixe,-23.8597,35.3472,71.56,82,0,15.99,MZ,1660436750
Panabá,21.2833,-88.2667,81.09,76,98,10.02,MX,1660436752
Kasongo,-4.45,26.6667,73.62,67,100,2.48,CD,1660436753
Praia,14.9215,-23.5087,77.49,83,100,6.87,CV,1660436754
Bilibino,68.0546,166.4372,52.75,56,100,1.66,RU,1660436756
Qaqortoq,60.7167,-46.0333,45.52,99,100,3.71,GL,1660436758
Nakhon Phanom,17.3333,104.4167,78.6,88,100,0.47,TH,1660436760
Daru,-9.0763,143.2092,80.38,78,36,8.28,PG,1660436761
Thinadhoo,0.5333,72.9333,81.93,74,94,4.52,MV,1660436763
Kristinestad,62.2743,21.376,58.57,91,54,7.27,FI,1660436764
Meadow Lake,34.8014,-106.5436,90.7,28,38,7.07,US,1660436765
Gouyave,12.1646,-61.7296,81.37,83,75,9.22,GD,1660436768
Faya,18.3851,42.4509,69.91,64,97,5.53,SA,1660436769
Saint Paul Harbor,57.79,-152.4072,56.71,88,100,4.61,US,1660436771
Nizwá,22.9333,57.5333,83.12,58,100,6.17,OM,1660436772
Provideniya,64.3833,-173.3,45.09,69,99,1.97,RU,1660436774
Tamiahua,21.2667,-97.45,85.01,68,99,14.12,MX,1660436775
Prince George,53.9166,-122.753,58.44,88,100,10.36,CA,1660436532
Lebu,-37.6167,-73.65,49.26,87,100,7.65,CL,1660436778
Saint-Augustin,51.226,-58.6502,62.67,83,78,8.37,CA,1660436779
Bethel,41.3712,-73.414,72.45,67,9,3.67,US,1660436781
Beloha,-25.1667,45.05,62.35,73,0,5.19,MG,1660436782
Port-Cartier,50.0334,-66.8654,64.08,75,93,0.47,CA,1660436782
Redmond,47.674,-122.1215,79.52,52,70,3.0,US,1660436670
Kiruna,67.8557,20.2251,47.32,71,74,11.5,SE,1660436786
Mackenzie,55.2999,-123.1698,68.22,64,75,4.61,CA,1660436787
Coos Bay,43.3665,-124.2179,75.31,82,0,12.66,US,1660436621
Port Blair,11.6667,92.75,80.64,89,75,3.44,IN,1660436790
Lompoc,34.6391,-120.4579,86.14,66,0,14.97,US,1660436791
Tadine,-21.55,167.8833,73.31,69,100,18.41,NC,1660436792
Plettenberg Bay,-34.0527,23.3716,53.26,69,26,16.73,ZA,1660436794
Broken Hill,-31.95,141.4333,52.12,64,5,16.4,AU,1660436662
Mwene-Ditu,-7.0,23.45,71.28,30,27,2.51,CD,1660436796
Alta,69.9689,23.2717,45.66,84,77,3.44,NO,1660436797
Kidal,18.4411,1.4078,91.18,29,60,9.04,ML,1660436771
Torbay,47.6666,-52.7314,60.89,96,100,8.05,CA,1660436800
Baykit,61.67,96.37,50.61,68,2,3.06,RU,1660436801
Eidsvåg,62.7767,8.0668,57.25,94,97,2.53,NO,1660436803
Jos,9.9167,8.9,64.27,91,100,4.38,NG,1660436708
Topolobampo,25.6,-109.05,87.71,62,75,11.5,MX,1660436805
Sayula,19.8667,-103.6167,69.57,91,95,2.48,MX,1660436807
Nanortalik,60.1432,-45.2371,44.31,98,100,4.21,GL,1660436809
Oranjestad,12.524,-70.027,84.15,74,20,14.97,AW,1660436692
Deputatsky,69.3,139.9,37.49,92,100,5.03,RU,1660436811
Hirara,24.8,125.2833,87.66,79,40,8.05,JP,1660436814
Vila Velha,-20.3297,-40.2925,70.95,69,75,0.0,BR,1660436815
Kenai,60.5544,-151.2583,59.09,86,100,8.05,US,1660436817
São Filipe,14.8961,-24.4956,75.78,85,99,10.83,CV,1660436818
Luena,-11.7833,19.9167,55.31,34,15,0.92,AO,1660436820
Snezhnogorsk,69.1933,33.2531,40.78,66,96,9.62,RU,1660436821
Yur’yev-Pol’skiy,56.5,39.6833,62.04,78,94,3.87,RU,1660436822
Mitsamiouli,-11.3847,43.2844,74.68,77,2,8.37,KM,1660436824
Hobart,-42.8794,147.3294,54.27,96,100,13.8,AU,1660436825
Guarapari,-20.6667,-40.4975,70.9,66,36,6.82,BR,1660436826
Mahabalipuram,12.6264,80.1722,86.05,63,100,14.09,IN,1660436828
Klaksvík,62.2266,-6.589,52.72,86,100,9.04,FO,1660436829
Balkanabat,39.5108,54.3671,87.15,16,0,10.04,TM,1660436831
Hithadhoo,-0.6,73.0833,81.99,76,62,6.29,MV,1660436832
Iqaluit,63.7506,-68.5145,46.13,87,75,9.22,CA,1660436833
Kahului,20.8947,-156.47,91.42,40,20,20.71,US,1660436835
Tezu,27.9167,96.1667,76.66,95,75,3.13,IN,1660436836
Grindavik,63.8424,-22.4338,49.95,87,75,4.61,IS,1660436838
Malanje,-9.5402,16.341,61.83,78,40,6.26,AO,1660436839
Tarakan,3.3,117.6333,80.1,89,75,5.75,ID,1660436777
Bang Rakam,16.7585,100.1174,78.8,100,75,0.0,TH,1660436842
Sierra Vista,31.5545,-110.3037,75.76,72,20,19.57,US,1660436578
Port Lincoln,-34.7333,135.8667,55.13,75,55,5.77,AU,1660436844
Dunhua,43.3725,128.2425,66.13,79,81,1.95,CN,1660436845
Suihua,46.6406,126.9969,67.59,76,32,2.28,CN,1660436847
Geraldton,-28.7667,114.6,50.41,93,24,9.22,AU,1660436848
Codrington,-38.2667,141.9667,54.19,84,90,18.52,AU,1660436850
Niğde,37.8333,34.75,63.61,47,0,3.76,TR,1660436851
Hailun,47.45,126.9333,66.7,80,10,0.94,CN,1660436852
Sobolevo,54.4299,31.8996,61.43,89,98,7.11,RU,1660436855
Egvekinot,66.3167,-179.1667,40.46,65,90,2.77,RU,1660436856
Saskylakh,71.9167,114.0833,49.1,58,71,5.1,RU,1660436858
Hilo,19.7297,-155.09,92.28,77,100,9.22,US,1660436859
Cherskiy,68.75,161.3,43.21,68,100,8.05,RU,1660436860
Ilulissat,69.2167,-51.1,48.22,53,75,3.44,GL,1660436862
Ribeira Grande,38.5167,-28.7,76.3,87,6,6.4,PT,1660436863
Brodina,47.8833,25.4167,63.16,95,83,2.64,RO,1660436864
Tuktoyaktuk,69.4541,-133.0374,55.4,88,75,16.11,CA,1660436866
Agadez,19.75,10.25,88.99,14,9,9.95,NE,1660436867
Conneaut,41.9476,-80.5542,71.1,66,100,4.76,US,1660436868
Saint Anthony,45.0205,-93.218,68.95,68,100,13.8,US,1660436870
Laje,-10.1833,-40.9667,68.72,81,61,15.68,BR,1660436871
Vostok,46.4856,135.8833,69.06,61,94,0.92,RU,1660436872
Honningsvåg,70.9821,25.9704,51.55,82,100,12.66,NO,1660436874
Bambous Virieux,-20.3428,57.7575,69.22,77,75,13.8,MU,1660436875
Norman Wells,65.282,-126.8329,86.04,23,20,12.66,CA,1660436876
Viedma,-40.8135,-62.9967,60.22,33,100,18.68,AR,1660436878
Arrondissement de Morlaix,48.5833,-4.0,68.22,82,0,8.05,FR,1660436879
Sisimiut,66.9395,-53.6735,45.19,72,55,9.26,GL,1660436881
Oberá,-27.4871,-55.1199,58.69,82,68,2.53,AR,1660436882
Simplício Mendes,-7.8539,-41.9103,71.85,61,11,4.52,BR,1660436883
Caravelas,-17.7125,-39.2481,72.41,55,100,7.11,BR,1660436885
Albuquerque,35.0845,-106.6511,92.95,28,40,11.5,US,1660436886
Necochea,-38.5473,-58.7368,55.27,69,35,12.84,AR,1660436888
Semporna,4.4818,118.6112,80.29,84,69,3.0,MY,1660436889
Mocuba,-16.8392,36.9856,65.3,82,0,4.9,MZ,1660436890
Cidreira,-30.1811,-50.2056,60.82,83,70,5.55,BR,1660436892
Clairmont,55.2667,-118.786,66.13,63,75,26.46,CA,1660436893
Koungou,-12.7336,45.2042,74.91,83,20,6.91,YT,1660436896
Saucillo,28.0167,-105.2833,90.32,26,68,15.82,MX,1660436897
Kushima,31.4583,131.2333,86.34,70,77,5.75,JP,1660436900
Orichi,58.4036,49.0572,55.15,76,26,3.47,RU,1660436901
Hong Kong,22.2855,114.1577,88.25,86,5,1.01,HK,1660436902
Kavaratti,10.5669,72.642,81.01,79,100,11.86,IN,1660436904
Colotlán,22.1,-103.2667,63.3,84,88,7.56,MX,1660436905
Bredasdorp,-34.5322,20.0403,48.99,79,52,19.42,ZA,1660436909
Magistral'nyy,56.1725,107.4458,56.79,66,2,1.12,RU,1660436910
Flinders,-34.5833,150.8552,62.19,54,90,5.99,AU,1660436912
Bambanglipuro,-7.95,110.2833,77.22,88,71,2.64,ID,1660436913
Portree,57.4129,-6.1942,57.34,91,99,5.06,GB,1660436915
South River,40.4465,-74.386,77.9,53,0,6.29,US,1660436721
Jefferson City,38.5767,-92.1735,89.83,47,0,8.05,US,1660436872
Ust'-Ishim,57.6935,71.1665,53.47,92,99,12.37,RU,1660436918
Arrifes,37.7667,-25.7,76.23,94,20,6.91,PT,1660436920
Mercedes,-34.6515,-59.4307,60.64,75,8,9.64,AR,1660436921
Los Llanos de Aridane,28.6585,-17.9182,67.75,93,20,11.5,ES,1660436922
Siuna,13.7332,-84.7773,75.16,95,100,3.11,NI,1660436924
Magdalena,14.1999,121.429,81.36,88,100,1.34,PH,1660436925
College,64.8569,-147.8028,75.07,58,75,3.44,US,1660436927
Kalamare,-22.9337,26.5703,61.38,20,5,7.47,BW,1660436928
Mossamedes,-15.1961,12.1522,63.54,90,69,1.66,AO,1660436930
Marfino,55.7028,37.3822,67.95,68,0,2.24,RU,1660436932
Oranjemund,-28.55,16.4333,54.72,78,56,8.1,NA,1660436934
Taoudenni,22.6783,-3.9836,95.58,24,10,13.38,ML,1660436935
Saint-Louis,16.3333,-15.0,83.84,65,100,12.59,SN,1660436937
Laas,46.6166,10.7002,61.68,82,52,2.33,IT,1660436938
Emerald,-23.5333,148.1667,64.35,50,0,6.89,AU,1660436880
Cockburn Town,21.4612,-71.1419,82.36,74,40,9.22,TC,1660436941
Lorengau,-2.0226,147.2712,83.3,69,100,7.0,PG,1660436942
Urusha,54.05,122.9,62.73,73,7,2.26,RU,1660436943
Turkmenabat,39.0733,63.5786,76.98,31,0,9.22,TM,1660436945
Eureka,40.8021,-124.1637,73.2,73,2,7.0,US,1660436946
Shelburne,44.0787,-80.2041,66.99,55,77,7.11,CA,1660436947
Wajir,1.7471,40.0573,73.62,65,94,15.64,KE,1660436949
San Cristobal,7.7669,-72.225,73.58,99,68,3.27,VE,1660436950
Faanui,-16.4833,-151.75,78.04,76,42,11.92,PF,1660436952
Tura,25.5198,90.2201,74.34,91,99,6.44,IN,1660436953
Itoman,26.1247,127.6694,86.38,91,75,5.75,JP,1660436956
Kruisfontein,-34.0033,24.7314,44.89,83,3,9.55,ZA,1660436957
Pringsewu,-5.3582,104.9744,74.75,93,99,2.82,ID,1660436958
Dali,25.7,100.1833,62.87,92,7,3.47,CN,1660436960
Posse,-14.0931,-46.3694,74.14,38,69,10.45,BR,1660436961
Ahaus,52.0667,7.0,72.61,60,50,1.01,DE,1660436963
Coahuayana Viejo,18.7333,-103.6833,79.95,87,98,3.0,MX,1660436965
Båtsfjord,70.6345,29.7185,51.58,87,100,9.22,NO,1660436966
Al Bardīyah,31.7561,25.0865,77.5,79,2,10.11,LY,1660436968
Isangel,-19.55,169.2667,80.71,69,75,6.91,VU,1660436969
Calafell,41.2,1.5683,82.85,83,85,3.65,ES,1660436970
Vao,-22.6667,167.4833,70.9,71,100,21.03,NC,1660436973
Tevaitoa,-16.7833,-151.5,78.24,75,50,12.8,PF,1660436974
Bereket,39.2446,55.5154,82.2,19,0,7.94,TM,1660436975
Andreapol',56.6513,32.2664,58.89,83,77,2.8,RU,1660436978
Dijkot,31.2167,72.9833,85.89,67,4,6.62,PK,1660436979
Jiayuguan City,39.8167,98.3,70.11,33,98,8.1,CN,1660436981
Airai,-8.9266,125.4092,68.13,45,6,5.01,TL,1660436982
Aklavik,68.2191,-135.0107,63.97,51,38,18.03,CA,1660436983
Karatau,43.1667,70.4667,66.54,42,0,2.17,KZ,1660436985
Talcahuano,-36.7167,-73.1167,51.48,93,100,18.41,CL,1660436986
Salaga,8.5508,-0.5188,73.72,94,94,4.36,GH,1660436988
Kamenka,51.3223,42.7678,67.96,86,100,10.07,RU,1660436989
Ushibukamachi,32.1906,130.0228,84.15,80,85,7.81,JP,1660436991
Pangody,65.85,74.4859,50.29,83,100,17.16,RU,1660436992
Souillac,-20.5167,57.5167,66.58,77,75,13.8,MU,1660436993
Varanasi,25.3333,83.0,80.69,100,100,13.8,IN,1660436995
Bad Aussee,47.61,13.7824,56.91,100,99,3.89,AT,1660436996
Padang,-0.9492,100.3543,77.05,87,98,2.91,ID,1660436997
Narrabri,-30.3167,149.7833,56.52,71,4,5.01,AU,1660436999
Clyde River,70.4692,-68.5914,39.43,93,100,9.22,CA,1660437000
Nome,64.5011,-165.4064,48.27,81,100,14.97,US,1660437001
Anori,-3.7728,-61.6442,79.47,64,99,0.85,BR,1660437003
Isla Mujeres,21.2311,-86.731,84.25,78,15,9.1,MX,1660437005
Coihueco,-36.6167,-71.8333,52.54,82,100,12.66,CL,1660437006
Cabo San Lucas,22.8909,-109.9124,91.62,72,75,4.61,MX,1660437008
Wagar,16.1525,36.2032,77.7,77,100,11.88,SD,1660437012
Ostrovnoy,68.0531,39.5131,47.05,80,25,12.5,RU,1660437014
Biak,-0.9131,122.8766,78.48,79,89,6.85,ID,1660436866
Gayéri,12.6497,0.4931,78.46,79,90,12.19,BF,1660437017
Mīrābād,30.4362,61.8383,84.34,19,68,24.07,AF,1660437019
