City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Dubrovnik,42.6481,18.0922,67.64,82,75,5.75,HR,1660437020
Tabory,58.5198,64.5495,48.74,83,9,7.34,RU,1660437021
Cayenne,4.9333,-52.3333,82.09,1,0,2.3,GF,1660437006
Roald,62.5833,6.1333,61.75,88,100,4.61,NO,1660437024
Kiryat Gat,31.61,34.7642,77.68,100,4,4.23,IL,1660437025
Namatanai,-3.6667,152.4333,83.89,66,100,4.05,PG,1660437027
Kargil,34.5667,76.1,58.57,56,0,5.53,IN,1660437028
Topeka,39.0483,-95.678,98.58,46,0,6.91,US,1660437008
Kaposmérő,46.3617,17.704,64.0,76,100,5.35,HU,1660437031
Pontes e Lacerda,-15.2261,-59.3353,76.55,44,56,3.02,BR,1660437032
Alofi,-19.0595,-169.9187,75.09,64,99,13.8,NU,1660436988
Slave Lake,55.2834,-114.769,78.78,65,20,5.75,CA,1660436741
Moussoro,13.6408,16.4901,78.3,81,100,8.93,TD,1660437036
Gallup,35.5281,-108.7426,79.56,49,0,6.91,US,1660437037
Westport,41.1415,-73.3579,74.75,58,0,3.44,US,1660436965
Humble,29.9988,-95.2622,88.88,73,75,16.11,US,1660436904
Pangnirtung,66.1451,-65.7125,45.48,87,100,5.39,CA,1660437041
Sabla,12.7525,4.7077,80.8,72,91,10.27,NG,1660437042
Durazno,-33.4131,-56.5006,56.5,88,0,8.3,UY,1660437043
Pochutla,15.7432,-96.4661,81.82,88,100,2.19,MX,1660437045
Fredericton,45.9454,-66.6656,68.85,84,100,9.22,CA,1660436932
Singapore,1.2897,103.8501,78.84,86,75,2.3,SG,1660436949
Port-Gentil,-0.7193,8.7815,74.35,80,100,14.83,GA,1660436883
Mogadishu,2.0371,45.3438,75.65,87,100,15.75,SO,1660437050
Ibrā’,22.6906,58.5334,80.87,61,100,8.01,OM,1660437052
San Fernando,15.0286,120.6898,80.33,80,100,5.82,PH,1660437055
Dunedin,-45.8742,170.5036,52.3,54,0,8.63,NZ,1660437032
Tyrma,50.0833,132.1667,62.67,86,95,1.43,RU,1660437057
Kenora,49.8167,-94.4337,77.97,61,75,10.36,CA,1660437059
Reconquista,-29.15,-59.65,64.65,77,0,9.73,AR,1660437060
Abu Samrah,35.3029,37.1841,72.34,74,0,14.29,SY,1660437062
Nouadhibou,20.931,-17.0347,75.18,78,11,9.22,MR,1660437063
Huayucachi,-12.1333,-75.2333,53.83,66,9,3.74,PE,1660437065
Lieksa,63.3167,30.0167,57.85,68,82,7.96,FI,1660436970
Letlhakane,-21.4167,25.5833,60.94,25,0,3.96,BW,1660437068
Takaungu,-3.6837,39.8566,73.35,87,82,15.14,KE,1660437069
Lashio,22.9333,97.75,68.56,98,92,0.85,MM,1660437071
Zavyalovo,54.5053,82.4484,63.25,63,100,18.79,RU,1660437072
Kasongo-Lunda,-6.4667,16.8167,66.96,61,8,2.42,CD,1660437014
Fortuna,40.5982,-124.1573,72.93,67,0,13.8,US,1660437075
Lichinga,-13.3128,35.2406,53.69,87,0,3.44,MZ,1660437076
Xining,36.6167,101.7667,66.09,87,99,2.95,CN,1660437078
Kalmunai,7.4167,81.8167,79.99,76,86,4.63,LK,1660437080
Evanton,57.6638,-4.34,56.86,98,51,1.66,GB,1660437082
Nanyuki,0.0167,37.0728,54.54,86,100,7.67,KE,1660437084
Dakar,14.6937,-17.4441,82.53,78,40,18.41,SN,1660436856
San Anselmo,37.9747,-122.5616,88.09,53,0,12.66,US,1660437086
Kaitangata,-46.2817,169.8464,50.36,61,0,11.56,NZ,1660437088
Maningrida,-12.0667,134.2667,83.91,36,12,14.38,AU,1660437089
Villa Unión,23.2,-106.2333,87.03,74,75,0.0,MX,1660437091
Guerrero Negro,27.9769,-114.0611,78.08,66,0,13.85,MX,1660437092
Mayumba,-3.432,10.6554,69.22,86,17,3.96,GA,1660437093
Leningradskiy,69.3833,178.4167,35.29,79,94,4.83,RU,1660436927
Putina,-15.4667,-69.4333,44.91,75,9,11.45,PE,1660437096
Anadyr,64.75,177.4833,52.3,57,75,11.18,RU,1660437098
Tuy Hoa,13.0833,109.3,84.6,67,86,6.93,VN,1660437067
Moerai,-22.4333,-151.3333,74.68,84,79,10.42,PF,1660437101
Halifax,44.6453,-63.5724,69.69,88,76,4.61,CA,1660436962
Ahipara,-35.1667,173.1667,58.5,63,100,4.74,NZ,1660437104
Ambilobe,-13.2,49.05,64.72,77,0,5.1,MG,1660437105
Puntarenas,9.9763,-84.8384,77.23,92,100,3.8,CR,1660437106
Richards Bay,-28.783,32.0377,67.6,87,100,1.66,ZA,1660437108
Olinda,-8.0089,-34.8553,76.73,69,40,13.8,BR,1660437109
Saint-Philippe,-21.3585,55.7679,63.99,75,46,11.36,RE,1660436975
Asău,46.4333,26.4,67.12,88,95,3.98,RO,1660437112
Kanniyākumāri,8.0833,77.5667,78.21,79,100,17.69,IN,1660437113
Hong Gai,20.956,107.0946,82.31,78,100,0.94,VN,1660437115
Tazovsky,67.4667,78.7,50.27,97,100,4.0,RU,1660437116
Ulladulla,-35.35,150.4667,56.3,48,48,13.31,AU,1660437118
Koslan,63.4564,48.8989,43.93,94,6,4.61,RU,1660437120
Eydhafushi,5.1033,73.0708,81.12,77,100,7.58,MV,1660437121
Rosario,-32.9468,-60.6393,63.99,67,0,9.22,AR,1660437086
Kulhudhuffushi,6.6221,73.07,81.41,78,87,8.79,MV,1660437124
Sabang,5.8933,95.3214,81.79,72,81,8.99,ID,1660437126
Jacqueville,5.2052,-4.4146,74.61,90,98,15.73,CI,1660437128
Cayhagan,9.6697,122.4256,82.51,75,85,8.05,PH,1660437129
Avinurme,58.9822,26.8642,59.0,96,11,3.2,EE,1660437131
Ulaangom,49.9811,92.0667,65.88,51,48,3.22,MN,1660437132
Omboué,-1.5746,9.2618,70.97,83,36,6.82,GA,1660437134
Trofors,65.5333,13.4063,49.87,88,100,2.46,NO,1660437135
Qiqihar,47.3408,123.9672,75.09,53,100,5.55,CN,1660437136
Mililani Town,21.45,-158.0011,85.08,56,40,12.66,US,1660436873
Chala,-7.5833,31.2667,57.58,53,4,2.44,TZ,1660437139
Huaihua,27.5494,109.9592,84.43,69,30,6.62,CN,1660437140
Mastic Beach,40.7668,-72.8521,73.98,59,0,3.44,US,1660437142
Cacoal,-11.4386,-61.4472,80.2,35,6,1.25,BR,1660437143
Touros,-5.1989,-35.4608,73.74,84,18,15.08,BR,1660437066
Azare,11.6765,10.1948,71.2,90,100,6.11,NG,1660437146
Ola,59.5833,151.2833,59.22,85,100,11.74,RU,1660437147
Dimbokro,6.6451,-4.7048,71.13,98,98,4.81,CI,1660437149
Vallenar,-28.5708,-70.7581,63.32,48,0,2.37,CL,1660437150
San Patricio,28.017,-97.5169,84.18,74,100,6.91,US,1660437151
Puerto Quijarro,-17.7833,-57.7667,76.33,43,70,2.44,BO,1660437153
Vanimo,-2.6741,141.3028,83.21,69,100,6.46,PG,1660437155
Kailua,21.4022,-157.7394,87.21,64,75,9.22,US,1660437097
Acapulco de Juárez,16.8634,-99.8901,82.22,74,75,10.36,MX,1660437097
Kemijärvi,66.7131,27.4306,53.38,92,100,8.05,FI,1660437160
Bobo-Dioulasso,11.1771,-4.2979,73.85,100,20,2.3,BF,1660437161
Pustomyty,49.7153,23.913,61.2,95,99,3.74,UA,1660437162
Lata,40.1629,-8.3327,56.71,98,92,1.68,PT,1660437164
Kolāras,25.2333,77.6,75.16,93,89,11.14,IN,1660437165
Tupik,54.4253,119.9327,63.45,74,93,3.94,RU,1660437166
Porto-Novo,6.4965,2.6036,76.82,87,100,11.07,BJ,1660436951
Shimoda,34.6667,138.95,81.1,92,100,13.27,JP,1660437169
Noyabrsk,63.1994,75.4507,49.33,95,100,24.96,RU,1660437171
Sabha,27.0377,14.4283,84.61,30,0,15.19,LY,1660437172
Şarkîkaraağaç,38.0794,31.3664,66.6,64,7,4.0,TR,1660437174
Karratha,-20.7377,116.8463,76.06,43,6,6.08,AU,1660437176
Fomboni,-12.28,43.7425,75.38,76,0,7.72,KM,1660437177
Mattru,7.6244,-11.8332,72.54,94,97,2.93,SL,1660437179
North Bay,46.3168,-79.4663,68.02,59,40,0.0,CA,1660437180
Esmeraldas,-19.7625,-44.3139,65.44,59,0,4.45,BR,1660437181
Pahrump,36.2083,-115.9839,95.25,28,15,3.0,US,1660437183
Yulara,-25.2406,130.9889,60.13,29,0,3.38,AU,1660437184
Hambantota,6.1241,81.1185,77.34,94,20,3.44,LK,1660437186
Nantucket,41.2835,-70.0995,66.31,69,0,5.75,US,1660436971
Ramenskoye,55.5669,38.2303,66.43,82,0,0.0,RU,1660437189
Saryg-Sep,51.5,95.6,62.22,61,52,2.51,RU,1660437190
Saint George,37.1041,-113.5841,90.25,40,0,4.61,US,1660437192
Kununurra,-15.7667,128.7333,82.38,24,6,6.91,AU,1660437193
High Level,58.5169,-117.136,82.51,47,20,3.44,CA,1660437016
Opuwo,-18.0607,13.84,56.07,45,0,5.06,NA,1660437196
Buraidah,26.326,43.975,86.45,20,4,8.77,SA,1660437197
Tommot,58.9564,126.2925,57.07,98,100,1.28,RU,1660437199
Mahanje,-9.9333,35.3333,55.29,85,0,2.35,TZ,1660437202
Chirongui,-12.9319,45.1483,75.13,71,3,6.76,YT,1660437203
Carutapera,-1.195,-46.02,77.14,84,50,7.96,BR,1660437204
Mayo,38.8876,-76.5119,75.61,71,0,5.75,US,1660437206
Tessalit,20.1986,1.0114,90.73,29,85,13.11,ML,1660437207
Grand Gaube,-20.0064,57.6608,69.39,67,96,7.0,MU,1660437034
Tolaga Bay,-38.3667,178.3,58.05,44,0,6.04,NZ,1660437210
Ndola,-12.9587,28.6366,57.42,47,7,3.71,ZM,1660437211
Belyy Yar,53.6039,91.3903,64.29,82,0,11.18,RU,1660437213
Palaia Fokaia,37.72,23.9463,79.75,64,0,4.9,GR,1660437214
Kyren,51.6828,102.1408,63.01,77,74,0.72,RU,1660437215
San Fernando del Valle de Catamarca,-28.4696,-65.7852,66.58,31,0,16.22,AR,1660437218
Acaraú,-2.8856,-40.12,77.67,78,100,16.46,BR,1660437219
Verāval,20.9,70.3667,79.57,87,99,20.49,IN,1660437221
Kumluca,36.3703,30.2869,81.16,64,0,2.42,TR,1660437222
Okhansk,57.7186,55.3877,46.47,79,6,2.53,RU,1660437190
Salalah,17.0151,54.0924,73.49,100,100,9.22,OM,1660437226
Berlevåg,70.8578,29.0864,51.6,87,100,3.44,NO,1660437018
Tandil,-37.3217,-59.1332,56.68,74,10,10.13,AR,1660437041
Blackwater,-23.5833,148.8833,68.47,37,0,3.42,AU,1660437229
Henties Bay,-22.116,14.2845,53.58,86,72,10.8,NA,1660437123
Leeton,-34.5667,146.4,51.89,93,100,13.8,AU,1660437232
Dudinka,69.4058,86.1778,56.62,50,81,14.0,RU,1660437233
Medicine Hat,50.0501,-110.6683,83.39,25,46,6.89,CA,1660437016
Shihezi,44.3,86.0333,78.58,30,0,1.79,CN,1660437236
Saldanha,-33.0117,17.9442,48.25,70,10,15.26,ZA,1660437237
Lázaro Cárdenas,17.9583,-102.2,81.41,76,100,4.92,MX,1660437136
Vestmannaeyjar,63.4427,-20.2734,48.76,90,100,1.7,IS,1660437242
Przasnysz,53.0191,20.8803,62.46,83,9,8.28,PL,1660437243
Kargasok,59.0556,80.8572,55.69,98,100,9.31,RU,1660437245
Argayash,55.4888,60.8767,49.69,79,8,7.05,RU,1660437190
Valparaíso,-33.0393,-71.6273,54.48,91,0,4.61,CL,1660437139
Wote,-1.7808,37.6288,58.98,88,98,2.39,KE,1660437249
Bonthe,7.5264,-12.505,76.91,82,100,10.67,SL,1660437250
Znamenskoye,57.1281,73.8282,54.95,95,100,11.88,RU,1660437251
Nishihara,26.1842,127.7558,85.66,89,75,5.75,JP,1660437253
Bellevue,47.6104,-122.2007,79.05,51,40,9.22,US,1660437068
Esim,4.8699,-2.2405,74.84,88,56,10.98,GH,1660437256
Kėdainiai,55.2883,23.9747,63.07,87,79,6.6,LT,1660437257
Verbilki,56.5333,37.6,61.29,79,100,2.73,RU,1660437259
Natal,-5.795,-35.2094,79.02,73,75,10.36,BR,1660437261
Waipawa,-41.4122,175.5153,52.77,57,0,4.97,NZ,1660437263
Barcelos,41.5388,-8.6151,62.74,96,5,4.36,PT,1660437226
Safaga,26.7292,33.9365,86.22,42,0,17.13,EG,1660437265
Homer,59.6425,-151.5483,57.09,74,100,8.05,US,1660437266
Havre-St-Pierre,50.2334,-63.5986,62.96,82,0,0.0,CA,1660437268
Solginskiy,61.05,41.3428,48.85,81,23,2.71,RU,1660437269
Nizhniy Mamon,50.1937,40.5083,72.55,69,100,14.27,RU,1660437270
Ballitoville,-29.539,31.2144,63.16,94,100,3.44,ZA,1660437039
Kieta,-6.2167,155.6333,84.43,66,7,3.94,PG,1660437198
Pacific Grove,36.6177,-121.9166,77.88,72,0,10.36,US,1660437208
Savannah Bight,16.45,-85.85,82.89,81,11,18.72,HN,1660437275
Oktyabr'skoye,43.0645,44.7417,62.74,100,0,4.47,RU,1660437276
Kaišiadorys,54.8667,24.45,64.96,78,100,6.24,LT,1660437279
Morgan City,29.6994,-91.2068,80.01,86,48,4.68,US,1660437281
Balsas,-7.5325,-46.0356,86.5,22,60,11.41,BR,1660437282
Ngunguru,-35.6167,174.5,54.97,69,100,6.69,NZ,1660437283
Rawson,-43.3002,-65.1023,53.98,52,76,30.94,AR,1660437285
Prieska,-29.6641,22.7474,42.55,64,0,8.79,ZA,1660437286
Ordzhonīkīdze,52.4411,61.7408,59.61,67,30,7.47,KZ,1660437287
Sesheke,-17.4759,24.2968,60.91,31,5,4.94,ZM,1660437289
Papara,-3.9839,-38.7273,78.69,92,28,2.48,BR,1660437290
Dongkan,33.9997,119.8308,91.56,63,15,6.76,CN,1660437291
Surgut,61.25,73.4167,55.58,81,40,13.42,RU,1660437293
Katangli,51.7102,143.2326,61.57,77,82,6.64,RU,1660437294
Simpelveld,50.8342,5.9819,69.12,53,0,4.61,NL,1660437295
Nakamura,32.9833,132.9333,91.24,60,36,3.29,JP,1660437297
Santa Vitória do Palmar,-33.5189,-53.3681,54.55,90,0,5.1,BR,1660437298
Lauterbach,50.6333,9.4,65.44,76,0,1.99,DE,1660437127
Baie-Comeau,49.2168,-68.1489,60.48,82,0,2.3,CA,1660437300
Tarko-Sale,64.9225,77.785,55.0,96,100,6.35,RU,1660437128
Lovozero,68.005,35.0117,47.8,71,100,8.93,RU,1660437303
Suntar,62.1444,117.6319,54.64,89,100,7.9,RU,1660437305
Gizo Government Station,-8.103,156.8419,84.24,67,35,5.35,SB,1660437306
Mezen',65.8522,44.24,43.41,96,24,4.52,RU,1660437308
Hailar,49.2,119.7,69.55,51,100,6.85,CN,1660437309
Itaituba,-4.2761,-55.9836,80.01,58,39,0.63,BR,1660437310
Pathalgaon,22.5667,83.4667,74.08,94,100,4.59,IN,1660437312
Dzerzhinskoye,56.8344,95.2283,54.01,87,100,4.14,RU,1660437313
Mahibadhoo,3.7833,72.9667,80.76,78,100,4.63,MV,1660437315
Paragominas,-2.9667,-47.4833,72.61,88,86,3.36,BR,1660437316
Poronaysk,49.2167,143.1167,66.88,80,84,5.55,RU,1660437317
Puerto Ayacucho,5.6639,-67.6236,75.31,90,100,2.3,VE,1660437319
Cam Ranh,11.9214,109.1591,82.36,78,40,2.3,VN,1660437320
Haines Junction,60.7522,-137.5108,67.95,49,13,3.44,CA,1660437321
Jinchang,38.4953,102.1739,71.49,53,100,10.27,CN,1660437323
Kimbe,-5.5502,150.1429,87.96,59,87,4.12,PG,1660437325
Kuytun,54.3419,101.5036,58.91,63,100,4.83,RU,1660437327
Kalianget,-7.05,113.9333,82.0,77,100,11.74,ID,1660437328
Pryazha,61.6926,33.6216,43.83,77,35,1.92,RU,1660437329
Port Augusta,-32.5,137.7667,56.79,64,21,6.04,AU,1660437331
Amahai,-3.3333,128.9167,80.62,81,83,8.97,ID,1660437332
Vila Franca do Campo,37.7167,-25.4333,73.81,94,18,3.36,PT,1660437333
Tamworth,52.634,-1.6959,70.56,63,100,3.0,GB,1660437335
Turaif,31.6725,38.6637,70.05,73,0,13.8,SA,1660437336
Comodoro Rivadavia,-45.8667,-67.5,48.06,46,0,25.32,AR,1660437337
Konstantinovsk,47.5828,41.0922,79.74,27,59,16.78,RU,1660437339
Ambovombe,-25.1667,46.0833,66.24,69,0,9.71,MG,1660437340
Esso,55.9333,158.7,66.96,71,100,6.06,RU,1660437343
Iki-Burul,45.8208,44.6472,73.78,41,0,10.29,RU,1660437345
Alekseyevka,50.6309,38.6903,70.12,71,100,7.25,RU,1660437347
Kavieng,-2.5744,150.7967,83.8,65,100,10.38,PG,1660437348
Dem'yanovo,60.3511,47.0842,50.02,88,59,3.13,RU,1660437197
Mokrous,51.2333,47.5167,65.84,53,66,8.55,RU,1660437350
Sambava,-14.2667,50.1667,68.32,87,88,9.51,MG,1660437352
Fukuechō,32.6881,128.8419,86.36,84,40,12.66,JP,1660437354
La Ronge,55.1001,-105.2842,73.62,46,40,10.36,CA,1660437357
Yakhroma,56.3,37.4833,63.25,78,100,3.6,RU,1660437359
Samarinda,-0.5,117.15,79.48,81,100,3.15,ID,1660437304
Biryusinsk,55.9634,97.8235,57.58,63,99,3.8,RU,1660437138
Kumul,42.8,93.45,80.1,23,0,11.54,CN,1660437362
Kibala,9.1104,18.3463,75.15,100,20,0.0,TD,1660437364
Bathsheba,13.2167,-59.5167,77.61,94,75,2.3,BB,1660437365
Broome,42.2506,-75.833,65.17,72,7,2.35,US,1660437367
Khon Kaen,16.5,102.0833,79.81,80,91,1.63,TH,1660437368
Zliten,32.4674,14.5687,77.79,67,0,8.97,LY,1660437370
Acajutla,13.5928,-89.8275,80.56,81,72,2.98,SV,1660437371
Giżycko,54.0381,21.7644,61.25,74,2,7.45,PL,1660437373
Vila do Maio,15.1333,-23.2167,78.42,83,100,12.33,CV,1660437374
Olhão,37.0286,-7.8411,72.28,59,0,3.44,PT,1660437376
Dawei,14.0833,98.2,79.3,85,78,2.59,MM,1660437377
Miraflores,19.2167,-98.8083,63.25,84,77,1.5,MX,1660437378
São Miguel do Araguaia,-13.275,-50.1628,81.77,31,40,4.21,BR,1660437380
St. George's,12.0564,-61.7485,82.08,83,75,9.22,GD,1660437381
Mahuta,-10.8667,39.45,59.83,98,21,1.63,TZ,1660437383
Kutum,14.2,24.6667,74.91,68,100,4.03,SD,1660437384
Methóni,36.8197,21.7049,76.21,72,0,16.62,GR,1660437385
Paciran,-6.8767,112.3761,81.82,77,100,9.62,ID,1660437387
Pisco,-13.7,-76.2167,60.85,82,0,6.91,PE,1660437303
Yuncheng,35.0231,110.9928,86.41,66,100,5.19,CN,1660437389
Middleton,53.55,-2.2,72.95,68,100,7.11,GB,1660437391
Mpongwe,-13.5091,28.155,57.6,44,3,4.25,ZM,1660437392
Pedro Carbo,-1.8333,-80.2333,71.74,80,6,6.4,EC,1660437394
Thunder Bay,48.4001,-89.3168,64.38,72,20,8.05,CA,1660437381
Arlit,18.7369,7.3853,94.24,13,85,10.25,NE,1660437396
Portland,45.5234,-122.6762,82.53,47,20,10.36,US,1660436860
Khani,41.9563,42.9566,60.37,50,0,4.45,GE,1660437399
Pyaozerskiy,65.8333,31.1667,52.7,91,100,6.55,RU,1660437400
Yukhnov,54.7444,35.2297,60.6,77,100,4.43,RU,1660437401
Sibolga,1.7427,98.7792,76.21,92,100,5.97,ID,1660437404
Burnie,-41.0667,145.9167,54.95,71,100,9.89,AU,1660437405
Cururupu,-1.8283,-44.8683,74.48,92,41,3.83,BR,1660437406
Chifeng,42.2683,118.9636,67.95,86,100,16.8,CN,1660437408
Makkah al Mukarramah,21.4267,39.8261,91.18,42,79,1.63,SA,1660437390
Sunrise Manor,36.2111,-115.0731,91.9,46,75,9.22,US,1660437404
Nemuro,43.3236,145.575,66.67,96,100,14.58,JP,1660437412
Yerbogachën,61.2767,108.0108,51.31,69,99,1.01,RU,1660437413
Heihe,50.2441,127.4902,66.78,69,7,1.68,CN,1660437128
Māndal,25.45,74.5667,73.89,91,100,6.42,IN,1660437259
Great Yarmouth,52.6083,1.7305,67.01,76,62,6.58,GB,1660437131
Bemidji,47.4736,-94.8803,75.38,75,40,0.0,US,1660437418
Nara,34.6851,135.8049,87.96,53,71,9.44,JP,1660437420
Paraty,-23.2178,-44.7131,63.91,91,63,3.02,BR,1660437422
Bojnourd,37.4747,57.329,57.15,38,0,2.3,IR,1660437425
Ranfurly,-45.1333,170.1,40.3,84,4,5.28,NZ,1660437426
Abashiri,44.0213,144.2697,70.09,100,75,2.3,JP,1660437428
Baiyin,36.5583,104.2081,66.63,57,100,6.02,CN,1660437430
Atar,20.5169,-13.0499,90.39,42,0,8.66,MR,1660437432
Sitka,57.0531,-135.33,62.49,72,100,0.0,US,1660437433
Alabino,55.5268,37.0103,65.86,72,0,2.24,RU,1660437435
Bereda,43.2686,-7.5406,52.03,99,25,2.53,ES,1660437436
Saint-Pierre,-21.3393,55.4781,66.9,67,0,5.75,RE,1660437437
Honiara,-9.4333,159.95,85.68,66,14,4.81,SB,1660437439
Belmonte,-15.8631,-38.8828,70.61,74,87,10.29,BR,1660437441
Beauceville,46.2179,-70.7787,65.86,77,100,1.14,CA,1660437360
Qaryat Sulūq,31.6682,20.2521,77.99,66,0,6.87,LY,1660437443
Mildura,-34.2,142.15,53.56,82,100,9.22,AU,1660437444
Ulaanbaatar,47.9077,106.8832,57.33,82,75,6.71,MN,1660437446
Lucapa,-8.4192,20.7447,66.6,31,5,3.42,AO,1660437447
Soyo,-6.1349,12.3689,69.17,83,80,3.94,AO,1660437449
Arrondissement de Mayenne,48.3333,-0.6667,74.64,35,100,6.53,FR,1660437450
Safita,34.8205,36.1153,74.8,73,44,15.14,SY,1660437452
